frame,xmin,xmax,ymin,ymax,class_id,ratio
1478897296847027474.jpg,0,13,62,90,1,0.22333333333333333
1479498497955652365.jpg,85,127,43,95,1,0.4033333333333333
1478020998215192527.jpg,12,46,55,92,1,0.2833333333333333
1478895682382451012.jpg,30,114,52,106,1,0.65625
1478901342722577513.jpg,15,57,48,101,1,0.4166666666666667
1478732113352220295.jpg,19,80,51,119,1,0.5333333333333333
1478897595631422229.jpg,0,26,55,92,1,0.2866666666666667
1478896947788940280.jpg,0,60,58,122,1,0.5
1479502001713310264.jpg,0,27,58,90,1,0.24666666666666667
1478897039196293853.jpg,75,99,58,90,1,0.24333333333333335
1479502073215805210.jpg,0,30,57,99,1,0.33
1479504292365117386.jpg,0,9,77,118,1,0.32
1478898319456871646.jpg,0,26,63,76,1,0.20833333333333334
1478899295789925145.jpg,3,48,45,106,1,0.4766666666666667
1478899322640628908.jpg,0,47,41,122,1,0.63
1478901407276783038.jpg,94,123,63,88,1,0.22916666666666666
1478899424901299979.jpg,6,50,55,81,1,0.3375
1479502077716170613.jpg,0,35,55,98,1,0.3333333333333333
1478901179332090175.jpg,78,104,52,83,1,0.24333333333333335
1479504678391619044.jpg,23,82,30,111,1,0.6366666666666667
1479505764943684696.jpg,73,107,61,82,1,0.26666666666666666
1479502712259009140.jpg,0,20,54,97,1,0.34
1478732515363945693.jpg,80,119,50,91,1,0.32
1479502769762778129.jpg,99,127,54,70,1,0.21875
1479504791404379496.jpg,21,72,52,82,1,0.39791666666666664
1478900620039748758.jpg,76,123,40,97,1,0.44333333333333336
1479503404305524987.jpg,47,72,53,86,1,0.26
1478020233691620643.jpg,94,118,52,79,1,0.21
1478021898582759869.jpg,0,32,60,87,1,0.25
1478897123176343517.jpg,82,127,56,104,1,0.37666666666666665
1478900910826156628.jpg,85,113,64,88,1,0.22291666666666668
1478021928085464363.jpg,99,124,57,91,1,0.26666666666666666
1478021912589557537.jpg,0,41,56,94,1,0.31666666666666665
1478020273696759660.jpg,50,97,51,80,1,0.37083333333333335
1479504300365736778.jpg,37,83,60,111,1,0.39666666666666667
1478900272123772897.jpg,39,91,57,81,1,0.41041666666666665
1478898507981448696.jpg,92,127,57,101,1,0.3433333333333333
1479504673890815702.jpg,24,82,29,112,1,0.6466666666666666
1478732044534048644.jpg,43,81,50,99,1,0.38333333333333336
1478897045479865111.jpg,69,111,58,95,1,0.3229166666666667
1478897193443526947.jpg,86,127,52,94,1,0.32666666666666666
1479502472742892507.jpg,0,13,50,101,1,0.39666666666666667
1479502987279677587.jpg,86,114,48,82,1,0.2633333333333333
1478899571723053594.jpg,82,106,62,97,1,0.27666666666666667
1478020897212506811.jpg,78,105,56,81,1,0.21041666666666667
1478898020671593179.jpg,0,27,58,87,1,0.22333333333333333
1479498820473341507.jpg,0,31,54,103,1,0.38
1478020841211342195.jpg,48,82,54,96,1,0.3233333333333333
1479504629389811230.jpg,32,93,28,114,1,0.67
1479502144221575477.jpg,50,86,46,98,1,0.4066666666666667
1478898499983147215.jpg,96,119,61,87,1,0.20333333333333334
1479501743195921211.jpg,16,42,50,80,1,0.23
1479503344803629787.jpg,0,27,53,102,1,0.38333333333333336
1479499719055684869.jpg,0,31,41,95,1,0.42333333333333334
1478899578006671368.jpg,20,55,51,102,1,0.4033333333333333
1479499809541990004.jpg,0,9,60,87,1,0.21333333333333335
1479499543523506355.jpg,36,79,39,101,1,0.48333333333333334
1479501743695996280.jpg,15,42,51,80,1,0.22666666666666666
1479505882474348298.jpg,0,6,53,86,1,0.25333333333333335
1479498563976663973.jpg,0,7,56,98,1,0.33
1479499911071682907.jpg,0,4,55,88,1,0.25333333333333335
1478898577107698233.jpg,23,48,63,89,1,0.20333333333333334
1478732136291396585.jpg,7,36,55,81,1,0.22291666666666668
1479504668392838329.jpg,24,82,28,113,1,0.6633333333333333
1479502577729493159.jpg,2,34,54,86,1,0.2520833333333333
1478899744252500910.jpg,75,127,60,111,1,0.4083333333333333
1478901313585749785.jpg,73,94,52,83,1,0.41333333333333333
1478899327212635696.jpg,29,57,55,93,1,0.3
1479501951191893541.jpg,99,127,57,109,1,0.41
1479504777398626397.jpg,0,74,51,107,1,0.5791666666666667
1479498495471749985.jpg,0,15,55,96,1,0.5666666666666667
1478020854711258310.jpg,114,127,58,99,1,0.32
1478901360431038219.jpg,17,57,49,104,1,0.43333333333333335
1479498844995623172.jpg,10,39,57,86,1,0.22708333333333333
1478897399107948145.jpg,30,54,60,90,1,0.23333333333333334
1479502352736527720.jpg,0,15,48,94,1,0.3566666666666667
1479498731487527951.jpg,1,34,56,88,1,0.26458333333333334
1479505357936651830.jpg,0,67,59,114,1,0.525
1479500314596706764.jpg,40,99,52,113,1,0.4766666666666667
1479499436038513148.jpg,19,48,59,75,1,0.225
1479498813495887701.jpg,0,31,54,101,1,0.36333333333333334
1479505616454067683.jpg,98,126,56,84,1,0.225
1478901122204066083.jpg,70,97,55,73,1,0.21041666666666667
1479500180087279193.jpg,121,127,64,91,1,0.21
1479503057782078943.jpg,52,77,58,90,1,0.25333333333333335
1478732675367219846.jpg,100,126,55,89,1,0.2633333333333333
1478898085228109898.jpg,13,64,42,108,1,0.5133333333333333
1479505554449814274.jpg,48,105,55,85,1,0.44583333333333336
1478898325169286618.jpg,21,63,57,109,1,0.41
1478897276852160013.jpg,28,57,59,97,1,0.2966666666666667
1478898556541257115.jpg,32,100,43,97,1,0.5333333333333333
1479499092015034741.jpg,12,39,54,83,1,0.22666666666666666
1479504565884636710.jpg,66,106,53,74,1,0.3104166666666667
1478900940532965470.jpg,22,83,39,120,1,0.6333333333333333
1479503082784126416.jpg,48,82,54,97,1,0.3333333333333333
1478900847986045131.jpg,89,106,57,88,1,0.24
1479505314433823990.jpg,0,28,59,89,1,0.23333333333333334
1478732186758922659.jpg,11,37,53,82,1,0.23
1479504927907855713.jpg,49,89,48,107,1,0.4633333333333333
1479502174724950985.jpg,10,42,57,89,1,0.25
1478896683282487860.jpg,20,86,48,125,1,0.5966666666666667
1479498682487368786.jpg,0,31,35,99,1,0.49666666666666665
1479499899567722789.jpg,0,5,60,104,1,0.3466666666666667
1478898918740290794.jpg,0,13,61,96,1,0.28
1479503483313375052.jpg,53,72,53,80,1,0.21
1478899066131426372.jpg,98,127,48,102,1,0.42
1478898339450920406.jpg,20,63,56,110,1,0.42333333333333334
1478020968220297843.jpg,94,127,44,93,1,0.38666666666666666
1478899863651847835.jpg,73,96,57,87,1,0.23333333333333334
1479502211725110999.jpg,95,127,42,93,1,0.3933333333333333
1478898898744254235.jpg,0,23,60,89,1,0.22666666666666666
1478897755021257636.jpg,82,97,54,88,1,0.26666666666666666
1478020972716291799.jpg,0,41,32,86,1,0.42
1479498722987754538.jpg,0,29,54,96,1,0.32666666666666666
1478901216466428706.jpg,0,65,38,121,1,0.65
1478732260164484474.jpg,0,36,55,93,1,0.3
1478899835087522984.jpg,34,84,55,114,1,0.46
1478897002061606136.jpg,76,106,63,88,1,0.23958333333333334
1478896949502821481.jpg,0,60,58,122,1,0.5
1479504850402702228.jpg,0,13,56,94,1,0.2966666666666667
1478899813378683973.jpg,50,56,56,88,1,0.24666666666666667
1479499494540287382.jpg,0,11,64,98,1,0.2633333333333333
1479505622952400442.jpg,108,127,55,103,1,0.37666666666666665
1479503827836530350.jpg,0,18,51,93,1,0.32666666666666666
1479504309866457667.jpg,37,84,60,115,1,0.43333333333333335
1479502575730720572.jpg,9,38,53,83,1,0.23333333333333334
1479498571476566065.jpg,19,42,53,81,1,0.21666666666666667
1479501721191997079.jpg,15,42,51,80,1,0.22333333333333333
1479502343233832531.jpg,0,16,47,93,1,0.36333333333333334
1478899344921220665.jpg,77,85,58,86,1,0.21666666666666667
1479503066783879493.jpg,96,127,56,90,1,0.27
1478900275552350212.jpg,37,117,56,80,1,0.6270833333333333
1479504826906705597.jpg,0,39,45,95,1,0.3933333333333333
1478732046255613996.jpg,42,84,51,102,1,0.4
1478899336922683541.jpg,91,127,55,96,1,0.32666666666666666
1478901332438016258.jpg,15,57,48,102,1,0.42333333333333334
1478901366715754645.jpg,0,23,52,101,1,0.38
1478732346759978276.jpg,85,114,55,88,1,0.26
1478896326797043997.jpg,0,8,54,96,1,0.3233333333333333
1478020422696366401.jpg,96,127,48,99,1,0.4
1478020239701924862.jpg,1,29,46,68,1,0.21458333333333332
1479504971411000548.jpg,53,81,51,93,1,0.33
1478901364430768195.jpg,0,9,61,100,1,0.3
1478899456894045561.jpg,25,52,62,94,1,0.25
1478897860138703556.jpg,119,127,75,127,1,0.4033333333333333
1478732189052062340.jpg,11,36,53,82,1,0.22666666666666666
1478020972214734428.jpg,0,42,40,84,1,0.34
1478898262326603344.jpg,24,62,44,98,1,0.42333333333333334
1479505161403449673.jpg,90,127,57,91,1,0.2916666666666667
1478020446196466464.jpg,112,127,49,79,1,0.23333333333333334
1479505092918570648.jpg,107,127,44,90,1,0.35333333333333333
1478897900129718045.jpg,66,113,60,81,1,0.36666666666666664
1478898306316153054.jpg,21,62,56,109,1,0.41
1478899922494707517.jpg,6,40,57,96,1,0.30666666666666664
1478901345006245768.jpg,1,11,56,84,1,0.22
1478898338307915877.jpg,20,63,56,110,1,0.42
1478732744757106426.jpg,0,22,53,93,1,0.31333333333333335
1478899366630571041.jpg,33,66,60,101,1,0.31666666666666665
1478732123675433804.jpg,18,80,51,125,1,0.5833333333333334
1478900935964185642.jpg,23,82,41,119,1,0.6133333333333333
1479502450741142720.jpg,0,21,38,98,1,0.47
1479504612889322245.jpg,49,89,44,92,1,0.37333333333333335
1478899636851551867.jpg,68,112,54,83,1,0.34791666666666665
1478732988488698642.jpg,1,30,55,84,1,0.22666666666666666
